,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,mpg²,acceleration²
46,22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),484.0,361.0
47,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,361.0,225.0
48,18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,324.0,210.25
49,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,529.0,196.0
50,28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,784.0,196.0
51,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,900.0,380.25
52,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,900.0,210.25
53,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,961.0,361.0
54,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,1225.0,324.0
55,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,729.0,361.0
56,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,676.0,420.25
57,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,576.0,240.25
58,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,625.0,289.0
59,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3,529.0,552.25
60,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega,400.0,380.25
61,21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout,441.0,272.25
62,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,169.0,144.0
63,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,196.0,144.0
64,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,225.0,182.25
65,14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,196.0,169.0
66,17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,289.0,132.25
67,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,121.0,121.0
68,13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,169.0,182.25
69,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,144.0,182.25
70,13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,169.0,156.25
71,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe,361.0,182.25
72,15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),225.0,156.25
73,13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),169.0,196.0
74,13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),169.0,256.0
75,14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),196.0,196.0
76,18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw),324.0,210.25
77,22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw),484.0,324.0
78,21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw),441.0,380.25
79,26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),676.0,324.0
80,22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw),484.0,256.0
81,28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),784.0,289.0
82,23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw),529.0,210.25
83,28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),784.0,225.0
84,27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),729.0,272.25
85,13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,169.0,169.0
86,14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,196.0,132.25
87,13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,169.0,169.0
88,14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,196.0,210.25
89,15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,225.0,156.25
90,12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,144.0,132.25
91,13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,169.0,144.0
92,13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,169.0,169.0
93,14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,196.0,210.25
94,13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,169.0,121.0
95,12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,144.0,121.0
96,13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,169.0,121.0
97,18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant,324.0,272.25
98,16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom,256.0,324.0
99,18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet,324.0,256.0
100,18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick,324.0,272.25
101,23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster,529.0,256.0
102,26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,676.0,441.0
103,11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,121.0,196.0
104,12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,144.0,156.25
105,13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,169.0,169.0
106,12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,144.0,156.25
107,18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin,324.0,225.0
108,20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina,400.0,361.0
109,21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega,441.0,380.25
110,22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610,484.0,272.25
111,18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3,324.0,182.25
112,19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto,361.0,342.25
113,21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6,441.0,196.0
114,26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,676.0,240.25
115,15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,225.0,169.0
116,16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,256.0,90.25
117,29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,841.0,380.25
118,24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta,576.0,240.25
119,20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls,400.0,196.0
120,19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea,361.0,240.25
121,15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,225.0,121.0
122,24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le,576.0,196.0
123,20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii,400.0,182.25
124,11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,121.0,121.0
125,20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster,400.0,272.25
127,19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet,361.0,256.0
128,15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova,225.0,289.0
129,31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,961.0,361.0
130,26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,676.0,272.25
131,32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,1024.0,441.0
132,25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega,625.0,289.0
133,16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,256.0,289.0
134,16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador,256.0,324.0
135,18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring,324.0,272.25
136,16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,256.0,196.0
137,13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),169.0,210.25
138,14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),196.0,182.25
139,14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),196.0,256.0
140,14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),196.0,240.25
141,29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,841.0,272.25
142,26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,676.0,240.25
143,26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,676.0,210.25
144,31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,961.0,272.25
145,32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,1024.0,361.0
146,28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,784.0,210.25
147,24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128,576.0,240.25
148,26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,676.0,196.0
149,24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic,576.0,225.0
150,26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,676.0,240.25
151,31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,961.0,256.0
152,19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom,361.0,256.0
153,18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova,324.0,256.0
154,15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch,225.0,441.0
155,15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick,225.0,380.25
156,16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,256.0,132.25
157,15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,225.0,196.0
158,16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,256.0,210.25
159,14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,196.0,182.25
160,17.0,6,231.0,110.0,3907,21.0,75,usa,buick century,289.0,441.0
161,16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu,256.0,342.25
162,15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador,225.0,361.0
163,18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury,324.0,361.0
164,21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk,441.0,225.0
165,20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,400.0,182.25
166,13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,169.0,144.0
167,29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,841.0,256.0
168,23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto,529.0,289.0
169,20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin,400.0,256.0
170,23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro,529.0,342.25
171,24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona,576.0,182.25
172,25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher,625.0,272.25
173,24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710,576.0,289.0
174,18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto,324.0,210.25
175,29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,841.0,196.0
176,19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer,361.0,289.0
177,23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls,529.0,225.0
178,23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504,529.0,289.0
179,22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl,484.0,210.25
180,25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le,625.0,182.25
181,33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,1089.0,306.25
182,28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,784.0,240.25
183,25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900,625.0,285.60999999999996
184,25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii,625.0,222.01000000000002
185,26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,676.0,313.28999999999996
186,27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,729.0,234.09000000000003
187,17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,306.25,169.0
188,16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,256.0,169.0
189,15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,240.25,193.21
190,14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,210.25,163.84000000000003
191,22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant,484.0,237.16000000000003
192,22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova,484.0,210.25
193,24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick,576.0,309.76000000000005
194,22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet,506.25,309.76000000000005
195,29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,841.0,492.84
196,24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody,600.25,488.4100000000001
197,29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,841.0,201.64
198,33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,1089.0,302.75999999999993
199,20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se,400.0,313.28999999999996
200,18.0,6,250.0,78.0,3574,21.0,76,usa,ford granada ghia,324.0,441.0
201,18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac ventura sj,342.25,262.44
202,17.5,6,258.0,95.0,3193,17.8,76,usa,amc pacer d/l,306.25,316.84000000000003
203,29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen rabbit,870.25,148.83999999999997
204,32.0,4,85.0,70.0,1990,17.0,76,japan,datsun b-210,1024.0,289.0
205,28.0,4,97.0,75.0,2155,16.4,76,japan,toyota corolla,784.0,268.96
206,26.5,4,140.0,72.0,2565,13.6,76,usa,ford pinto,702.25,184.95999999999998
207,20.0,4,130.0,102.0,3150,15.7,76,europe,volvo 245,400.0,246.48999999999998
208,13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8,169.0,174.23999999999998
209,19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot 504,361.0,479.60999999999996
210,19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii,361.0,240.25
211,16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes-benz 280s,272.25,278.89
212,16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville,272.25,146.41
213,13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10,169.0,144.0
214,13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108,169.0,225.0
215,13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,169.0,196.0
216,31.5,4,98.0,68.0,2045,18.5,77,japan,honda accord cvcc,992.25,342.25
217,30.0,4,111.0,80.0,2155,14.8,77,usa,buick opel isuzu deluxe,900.0,219.04000000000002
218,36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl,1296.0,345.96000000000004
219,25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth arrow gs,650.25,240.25
220,33.5,4,85.0,70.0,1945,16.8,77,japan,datsun f-10 hatchback,1122.25,282.24
221,17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,306.25,156.25
222,17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,289.0,361.0
223,15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,240.25,187.68999999999997
224,15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,225.0,222.01000000000002
225,17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet concours,306.25,268.96
226,20.5,6,231.0,105.0,3425,16.9,77,usa,buick skylark,420.25,285.60999999999996
227,19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth volare custom,361.0,313.28999999999996
228,18.5,6,250.0,98.0,3525,19.0,77,usa,ford granada,342.25,361.0
229,16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,256.0,123.21
230,15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,240.25,129.96
231,15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,240.25,148.83999999999997
232,16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,256.0,210.25
233,29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen rabbit custom,841.0,210.25
234,24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac sunbird coupe,600.25,256.0
235,26.0,4,97.0,75.0,2265,18.2,77,japan,toyota corolla liftback,676.0,331.23999999999995
236,25.5,4,140.0,89.0,2755,15.8,77,usa,ford mustang ii 2+2,650.25,249.64000000000001
237,30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet chevette,930.25,289.0
238,33.5,4,98.0,83.0,2075,15.9,77,usa,dodge colt m/m,1122.25,252.81
239,30.0,4,97.0,67.0,1985,16.4,77,japan,subaru dl,900.0,268.96
240,30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen dasher,930.25,198.81
241,22.0,6,146.0,97.0,2815,14.5,77,japan,datsun 810,484.0,210.25
242,21.5,4,121.0,110.0,2600,12.8,77,europe,bmw 320i,462.25,163.84000000000003
243,21.5,3,80.0,110.0,2720,13.5,77,japan,mazda rx-4,462.25,182.25
244,43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen rabbit custom diesel,1857.6100000000001,462.25
245,36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta,1303.21,207.36
246,32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe,1075.84,376.35999999999996
247,39.4,4,85.0,70.0,2070,18.6,78,japan,datsun b210 gx,1552.36,345.96000000000004
248,36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc,1303.21,268.96
249,19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,396.00999999999993,240.25
250,19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,376.35999999999996,174.23999999999998
251,20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,408.03999999999996,163.84000000000003
252,19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac phoenix lj,368.64,368.64
253,20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu,420.25,331.23999999999995
254,20.2,6,200.0,85.0,2965,15.8,78,usa,ford fairmont (auto),408.03999999999996,249.64000000000001
255,25.1,4,140.0,88.0,2720,15.4,78,usa,ford fairmont (man),630.0100000000001,237.16000000000003
256,20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth volare,420.25,295.84
257,19.4,6,232.0,90.0,3210,17.2,78,usa,amc concord,376.35999999999996,295.84
258,20.6,6,231.0,105.0,3380,15.8,78,usa,buick century special,424.36000000000007,249.64000000000001
259,20.8,6,200.0,85.0,3070,16.7,78,usa,mercury zephyr,432.64000000000004,278.89
260,18.6,6,225.0,110.0,3620,18.7,78,usa,dodge aspen,345.96000000000004,349.69
261,18.1,6,258.0,120.0,3410,15.1,78,usa,amc concord d/l,327.61000000000007,228.01
262,19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,368.64,174.23999999999998
263,17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo),313.28999999999996,179.56
264,18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,327.61000000000007,125.43999999999998
265,17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,306.25,187.68999999999997
266,30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,900.0,272.25
267,27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,756.25,201.64
268,27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,739.8399999999999,216.08999999999997
269,30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,954.81,210.25
270,21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback,445.21000000000004,219.04000000000002
271,23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo,538.24,278.89
272,23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile starfire sx,566.44,309.76000000000005
273,23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx,571.2099999999999,222.01000000000002
274,20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000,412.09000000000003,252.81
275,17.0,6,163.0,125.0,3140,13.6,78,europe,volvo 264gl,289.0,184.95999999999998
276,21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle,466.56000000000006,246.48999999999998
277,16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl,262.44,249.64000000000001
278,31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,992.25,222.01000000000002
279,29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,870.25,275.56000000000006
280,21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6,462.25,237.16000000000003
281,19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6,392.04,331.23999999999995
282,22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4,497.29,299.29
283,20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6,408.03999999999996,331.23999999999995
284,20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6,424.36000000000007,275.56000000000006
285,17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,289.0,237.16000000000003
286,17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,309.76000000000005,179.56
287,16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,272.25,174.23999999999998
288,18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,331.23999999999995,231.04
289,16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),285.60999999999996,222.01000000000002
290,15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),240.25,204.49
291,19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),368.64,225.0
292,18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),342.25,169.0
293,31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,1017.6099999999999,196.0
294,34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,1162.8100000000002,231.04
295,35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,1274.4900000000002,207.36
296,27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,750.7599999999999,225.0
297,25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,645.16,404.01000000000005
298,23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,529.0,302.75999999999993
299,27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,739.8399999999999,615.0400000000001
300,23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,571.2099999999999,492.84
301,34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,1169.64,174.23999999999998
302,34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,1190.25,222.01000000000002
303,31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,1011.24,368.64
304,37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,1391.2899999999997,216.08999999999997
